UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
750,5,17,131,6129.0,5171316129.0,6129,Bucharest,131,Romania,17,Central Europe,5,5,Europe
752,5,21,163,8051.0,5211638051.0,8051,Bradford,163,United Kingdom,21,Western Europe,5,5,Europe
753,3,14,101,3071.0,3141013071.0,3071,Denpasar,101,Indonesia,14,South East Asia,3,3,Asia
759,5,20,155,7020.0,5201557020.0,7020,Portimao,155,Portugal,20,Southern Europe,5,5,Europe
762,3,11,73,2428.0,311732428.0,2428,Daegu,73,South Korea,11,East Asia,3,3,Asia
766,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
767,3,14,103,3354.0,3141033354.0,3354,Kuala Lumpur,103,Malaysia,14,South East Asia,3,3,Asia
768,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
770,3,12,81,2537.0,312812537.0,2537,Kuwait,81,Kuwait,12,Middle East,3,3,Asia
775,1,4,22,136.0,1422136.0,136,Johannesburg,22,South Africa,4,Southern Africa,1,1,Africa
776,2,8,48,383.0,2848383.0,383,Grand Forks,48,Canada,8,Northern America,2,2,America
778,4,15,109,3794.0,4151093794.0,3794,Bateau Bay,109,Australia,15,Australia,4,4,Australia & Oceania
780,5,21,163,9084.0,5211639084.0,9084,Wigan,163,United Kingdom,21,Western Europe,5,5,Europe
781,4,15,109,4151.0,4151094151.0,4151,Dee Why,109,Australia,15,Australia,4,4,Australia & Oceania
782,2,8,48,402.0,2848402.0,402,Kelowna,48,Canada,8,Northern America,2,2,America
793,2,8,51,858.0,2851858.0,858,Cheyenne,51,United States,8,Northern America,2,2,America
800,5,19,143,6559.0,5191436559.0,6559,Reykjavik,143,Iceland,19,Northern Europe,5,5,Europe
804,4,15,109,3981.0,4151093981.0,3981,Canberra,109,Australia,15,Australia,4,4,Australia & Oceania
812,2,8,51,1804.0,28511804.0,1804,San Diego,51,United States,8,Northern America,2,2,America
817,5,21,163,8945.0,5211638945.0,8945,Sunderland,163,United Kingdom,21,Western Europe,5,5,Europe
823,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
824,5,21,163,9116.0,5211639116.0,9116,Woodhouse Eaves,163,United Kingdom,21,Western Europe,5,5,Europe
830,4,15,109,5180.0,4151095180.0,5180,Surfers Paradise,109,Australia,15,Australia,4,4,Australia & Oceania
835,2,8,48,365.0,2848365.0,365,Delta,48,Canada,8,Northern America,2,2,America
839,3,13,94,2932.0,313942932.0,2932,Kandoomaafushi Island,94,Maldives,13,South Asia,3,3,Asia
842,2,8,51,698.0,2851698.0,698,Austin,51,United States,8,Northern America,2,2,America
844,5,21,163,8909.0,5211638909.0,8909,Staines,163,United Kingdom,21,Western Europe,5,5,Europe
845,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
849,3,14,101,3236.0,3141013236.0,3236,Serpong,101,Indonesia,14,South East Asia,3,3,Asia
850,4,15,109,5267.0,4151095267.0,5267,Townsville,109,Australia,15,Australia,4,4,Australia & Oceania
857,5,21,160,7611.0,5211607611.0,7611,Limerick,160,Ireland,21,Western Europe,5,5,Europe
858,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
865,2,8,51,1156.0,28511156.0,1156,Hartford,51,United States,8,Northern America,2,2,America
868,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
870,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
873,4,15,109,4715.0,4151094715.0,4715,Moe,109,Australia,15,Australia,4,4,Australia & Oceania
874,2,8,48,554.0,2848554.0,554,Vancouver,48,Canada,8,Northern America,2,2,America
877,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
878,4,15,109,4545.0,4151094545.0,4545,Langwarrin,109,Australia,15,Australia,4,4,Australia & Oceania
